"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Parent Stimulus","Count Frames","Anger Threshold","Anger Frames >= Threshold","Anger Time Percentage","Sadness Threshold","Sadness Frames >= Threshold","Sadness Time Percentage","Disgust Threshold","Disgust Frames >= Threshold","Disgust Time Percentage","Joy Threshold","Joy Frames >= Threshold","Joy Time Percentage","Surprise Threshold","Surprise Frames >= Threshold","Surprise Time Percentage","Fear Threshold","Fear Frames >= Threshold","Fear Time Percentage","Contempt Threshold","Contempt Frames >= Threshold","Contempt Time Percentage","Engagement Threshold","Engagement Frames >= Threshold","Engagement Time Percentage","Attention Threshold","Attention Frames >= Threshold","Attention Time Percentage","Positive Threshold","Positive Frames >= Threshold","Positive Time Percentage","Negative Threshold","Negative Frames <= Threshold","Negative Time Percentage","Neutral Threshold","Neutral Frames Between Threshold","Neutral Time Percentage","Brow Furrow Threshold","Brow Furrow Frames >= Threshold","Brow Furrow Time Percentage","Brow Raise Threshold","Brow Raise Frames >= Threshold","Brow Raise Time Percentage","Lip Corner Depressor Threshold","Lip Corner Depressor Frames >= Threshold","Lip Corner Depressor Time Percentage","Smile Threshold","Smile Frames >= Threshold","Smile Time Percentage","Inner Brow Raise Threshold","Inner Brow Raise Frames >= Threshold","Inner Brow Raise Time Percentage","Eye Closure Threshold","Eye Closure Frames >= Threshold","Eye Closure Time Percentage","Nose Wrinkle Threshold","Nose Wrinkle Frames >= Threshold","Nose Wrinkle Time Percentage","Upper Lip Raise Threshold","Upper Lip Raise Frames >= Threshold","Upper Lip Raise Time Percentage","Lip Suck Threshold","Lip Suck Frames >= Threshold","Lip Suck Time Percentage","Lip Press Threshold","Lip Press Frames >= Threshold","Lip Press Time Percentage","Mouth Open Threshold","Mouth Open Frames >= Threshold","Mouth Open Time Percentage","Chin Raise Threshold","Chin Raise Frames >= Threshold","Chin Raise Time Percentage","Smirk Threshold","Smirk Frames >= Threshold","Smirk Time Percentage","Lip Pucker Threshold","Lip Pucker Frames >= Threshold","Lip Pucker Time Percentage","Cheek Raise Threshold","Cheek Raise Frames >= Threshold","Cheek Raise Time Percentage","Dimpler Threshold","Dimpler Frames >= Threshold","Dimpler Time Percentage","Eye Widen Threshold","Eye Widen Frames >= Threshold","Eye Widen Time Percentage","Lid Tighten Threshold","Lid Tighten Frames >= Threshold","Lid Tighten Time Percentage","Lip Stretch Threshold","Lip Stretch Frames >= Threshold","Lip Stretch Time Percentage","Jaw Drop Threshold","Jaw Drop Frames >= Threshold","Jaw Drop Time Percentage"
"Hoteles Grupo 2","RESPONDENT1","Female","26","Default","Stimulus","AgodaPage3",1030210,77960,"",2342,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",2,0.09,"50",1492,63.71,"50",1,0.04,"-50",0,0,"-50|50",1491,63.66,"50",0,0,"50",0,0,"50",0,0,"50",2,0.09,"50",0,0,"50",5,0.21,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",15,0.64,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",36,1.54
"Hoteles Grupo 2","RESPONDENT2","Male","26","Default","Stimulus","VrboPage",283868,149932,"",4503,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",47,1.04,"50",0,0,"50",0,0,"50",89,1.98,"50",2676,59.43,"50",0,0,"-50",8,0.18,"-50|50",2795,62.07,"50",17,0.38,"50",56,1.24,"50",10,0.22,"50",0,0,"50",0,0,"50",9,0.2,"50",0,0,"50",0,0,"50",111,2.47,"50",54,1.2,"50",73,1.62,"50",10,0.22,"50",0,0,"50",15,0.33,"50",0,0,"50",76,1.69,"50",31,0.69,"50",0,0,"50",0,0,"50",94,2.09
"Hoteles Grupo 2","RESPONDENT2","Male","26","Default","Scene","Mapping Vrbo",283868,25318,"VrboPage",760,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",11,1.45,"50",454,59.74,"50",0,0,"-50",0,0,"-50|50",487,64.08,"50",0,0,"50",1,0.13,"50",0,0,"50",0,0,"50",0,0,"50",2,0.26,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",15,1.97,"50",8,1.05,"50",0,0,"50",0,0,"50",0,0,"50",35,4.61,"50",0,0,"50",0,0,"50",0,0,"50",0,0
"Hoteles Grupo 2","RESPONDENT2","Male","26","Default","Scene","Mapping 2",312783,27247,"VrboPage",819,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",526,64.22,"50",0,0,"-50",0,0,"-50|50",526,64.22,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",4,0.49,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0
"Hoteles Grupo 2","RESPONDENT2","Male","26","Default","Stimulus","HotelesPage",492610,116766,"",3507,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",24,0.68,"50",0,0,"50",0,0,"50",339,9.67,"50",2207,62.93,"50",0,0,"-50",21,0.6,"-50|50",2212,63.07,"50",0,0,"50",36,1.03,"50",0,0,"50",0,0,"50",0,0,"50",1,0.03,"50",0,0,"50",0,0,"50",248,7.07,"50",49,1.4,"50",201,5.73,"50",132,3.76,"50",0,0,"50",28,0.8,"50",0,0,"50",119,3.39,"50",26,0.74,"50",0,0,"50",0,0,"50",283,8.07
"Hoteles Grupo 2","RESPONDENT2","Male","26","Default","Stimulus","AgodaPage",68157,158669,"",4766,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",5,0.1,"50",171,3.59,"50",2989,62.72,"50",0,0,"-50",0,0,"-50|50",3023,63.43,"50",11,0.23,"50",19,0.4,"50",0,0,"50",0,0,"50",0,0,"50",1,0.02,"50",0,0,"50",0,0,"50",25,0.52,"50",16,0.34,"50",368,7.72,"50",0,0,"50",8,0.17,"50",69,1.45,"50",0,0,"50",21,0.44,"50",0,0,"50",0,0,"50",6,0.13,"50",19,0.4
"Hoteles Grupo 2","RESPONDENT2","Male","26","Default","Stimulus","VrboPage2",812959,90027,"",2704,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",28,1.04,"50",1704,63.02,"50",5,0.18,"-50",0,0,"-50|50",1755,64.9,"50",0,0,"50",0,0,"50",0,0,"50",6,0.22,"50",0,0,"50",15,0.55,"50",0,0,"50",0,0,"50",50,1.85,"50",3,0.11,"50",77,2.85,"50",18,0.67,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",7,0.26,"50",14,0.52
"Hoteles Grupo 2","RESPONDENT2","Male","26","Default","Stimulus","HotelesPage2",936669,76713,"",2304,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",7,0.3,"50",1485,64.45,"50",0,0,"-50",44,1.91,"-50|50",1441,62.54,"50",0,0,"50",0,0,"50",1,0.04,"50",0,0,"50",0,0,"50",6,0.26,"50",0,0,"50",0,0,"50",56,2.43,"50",21,0.91,"50",69,2.99,"50",50,2.17,"50",0,0,"50",0,0,"50",0,0,"50",41,1.78,"50",0,0,"50",0,0,"50",31,1.35,"50",36,1.56
"Hoteles Grupo 2","RESPONDENT2","Male","26","Default","Stimulus","AgodaPage2",667766,98868,"",2969,"50",0,0,"50",0,0,"50",2,0.07,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",7,0.24,"50",1807,60.86,"50",0,0,"-50",0,0,"-50|50",1840,61.97,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",7,0.24,"50",4,0.13,"50",2,0.07,"50",0,0,"50",162,5.46,"50",24,0.81,"50",142,4.78,"50",11,0.37,"50",0,0,"50",38,1.28,"50",0,0,"50",16,0.54,"50",1,0.03,"50",0,0,"50",1,0.03,"50",28,0.94
"Hoteles Grupo 2","RESPONDENT2","Male","26","Default","Stimulus","VrboPage3",1178777,61091,"",1835,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",21,1.14,"50",1149,62.62,"50",0,0,"-50",0,0,"-50|50",1163,63.38,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",1,0.05,"50",0,0,"50",0,0,"50",17,0.93,"50",13,0.71,"50",15,0.82,"50",4,0.22,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",6,0.33
"Hoteles Grupo 2","RESPONDENT2","Male","26","Default","Stimulus","HotelesPage3",1272167,65811,"",1977,"50",0,0,"50",0,0,"50",0,0,"50",52,2.63,"50",0,0,"50",0,0,"50",0,0,"50",74,3.74,"50",1242,62.82,"50",69,3.49,"-50",0,0,"-50|50",1182,59.79,"50",0,0,"50",0,0,"50",1,0.05,"50",71,3.59,"50",0,0,"50",4,0.2,"50",0,0,"50",0,0,"50",58,2.93,"50",0,0,"50",138,6.98,"50",16,0.81,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",7,0.35,"50",0,0,"50",0,0,"50",11,0.56
"Hoteles Grupo 2","RESPONDENT2","Male","26","Default","Stimulus","AgodaPage3",1071879,68176,"",2048,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",33,1.61,"50",23,1.12,"50",0,0,"50",131,6.4,"50",1217,59.42,"50",0,0,"-50",0,0,"-50|50",1272,62.11,"50",23,1.12,"50",43,2.1,"50",0,0,"50",0,0,"50",0,0,"50",25,1.22,"50",0,0,"50",0,0,"50",0,0,"50",67,3.27,"50",216,10.55,"50",1,0.05,"50",0,0,"50",0,0,"50",0,0,"50",145,7.08,"50",40,1.95,"50",0,0,"50",5,0.24,"50",189,9.23
"Hoteles Grupo 2","RESPONDENT3","Male","34","Default","Stimulus","VrboPage",562264,171113,"",5139,"50",0,0,"50",0,0,"50",407,7.92,"50",266,5.18,"50",12,0.23,"50",0,0,"50",0,0,"50",665,12.94,"50",1986,38.65,"50",318,6.19,"-50",272,5.29,"-50|50",1402,27.28,"50",186,3.62,"50",22,0.43,"50",2,0.04,"50",342,6.65,"50",0,0,"50",1,0.02,"50",136,2.65,"50",297,5.78,"50",0,0,"50",3,0.06,"50",175,3.41,"50",68,1.32,"50",0,0,"50",191,3.72,"50",173,3.37,"50",1,0.02,"50",0,0,"50",0,0,"50",0,0,"50",36,0.7
