"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Signal Duration (ms)","Parent Stimulus","Has Peaks","Peak Count","Peaks Per Minute","Peak Detection Name"
"Hoteles Grupo 2","RESPONDENT4","Female",24,"Default","Scene","Mapping Vrbo",82548,27729,27729,"VrboPage",1,3,6.49,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Male",25,"Default","Scene","Mapping Vrbo",3855,16529,16529,"VrboPage",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Female",24,"Default","Scene","Mapping 2",119440,35875,35875,"VrboPage",1,5,8.36,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Male",25,"Default","Scene","Mapping 2",23694,18215,18215,"VrboPage",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Female",24,"Default","Stimulus","HotelesPage",351482,131402,131401,"",1,21,9.59,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Male",25,"Default","Stimulus","HotelesPage",89127,54254,54254,"",1,4,4.42,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Female",24,"Default","Scene","Mapping Hoteles Inicio",352993,25969,25969,"HotelesPage",1,4,9.24,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Female",24,"Default","Scene","Mapping Hoteles Buscador",378962,14246,14246,"HotelesPage",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Female",24,"Default","Scene","Mapping Reserva",448242,15596,15596,"HotelesPage",1,2,7.69,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Female",24,"Default","Stimulus","AgodaPage",541372,107953,107953,"",1,11,6.11,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Male",25,"Default","Stimulus","AgodaPage",153754,108362,108361,"",1,9,4.98,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Female",24,"Default","Stimulus","VrboPage2",707741,269325,269325,"",1,37,8.24,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Male",25,"Default","Stimulus","VrboPage2",272801,100921,100920,"",1,13,7.73,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Female",24,"Default","Stimulus","HotelesPage2",1036409,118303,118302,"",1,14,7.1,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Male",25,"Default","Stimulus","HotelesPage2",383270,34747,34746,"",1,5,8.63,"GSR Peaks (Shimmer)"
